strategy_name,lot_size,sharpe_ratio,sortino_ratio,calmar_ratio,total_return,max_drawdown,win_rate,n_trades,profit_factor,avg_win,avg_loss,expectancy,gross_pnl,net_pnl,total_commission,template
TrendFollower_L5_T0.5_SL10_TP20,0.01,-0.06757178647089407,-0.177083366275511,-0.530930236977272,-0.016617400000010822,0.03129865063745122,0.30380522003547594,189424,0.9864093760207822,0.20958038506985455,-0.09271668840425877,-0.0008772594813753476,23.249999999954877,-166.1740000000452,189.42400000000006,TrendFollower
TrendFollower_L5_T0.5_SL10_TP20,0.1,-0.06757178647089361,-0.17708336627550983,-0.6022236512478563,-0.16617400000004254,0.27593403157733265,0.30380522003547594,189424,0.9864093760207816,2.095803850698545,-0.9271668840425878,-0.008772594813753587,232.4999999995488,-1661.7400000004518,1894.2400000000007,TrendFollower
TrendFollower_L5_T0.5_SL10_TP20,1.0,-0.06757178647089446,-0.177083366275512,-0.8203266644539149,-1.6617400000001985,2.025705212333194,0.30380522003547594,189424,0.9864093760207816,20.95803850698545,-9.271668840425878,-0.08772594813753543,2324.999999995487,-16617.400000004513,18942.4,TrendFollower
TrendFollower_L5_T0.5_SL10_TP30,0.01,-0.06321452236777793,-0.16728811479311725,-0.5077239507958272,-0.015642800000010358,0.03080965547418276,0.3037010428002409,189298,0.9871861706188529,0.20962463037049903,-0.09261765598446246,-0.0008263584401316387,32.86999999995531,-156.42800000004473,189.29800000000006,TrendFollower
TrendFollower_L5_T0.5_SL10_TP30,0.1,-0.06321452236777747,-0.16728811479311603,-0.5780879811834746,-0.1564280000000408,0.27059548908074155,0.3037010428002409,189298,0.9871861706188526,2.09624630370499,-0.9261765598446248,-0.008263584401316582,328.69999999955377,-1564.280000000447,1892.9800000000007,TrendFollower
TrendFollower_L5_T0.5_SL10_TP30,1.0,-0.06321452236777834,-0.16728811479311828,-0.781412439677564,-1.5642800000002008,2.0018621672386905,0.3037010428002409,189298,0.9871861706188525,20.962463037049897,-9.261765598446248,-0.0826358440131667,3286.9999999955335,-15642.800000004467,18929.8,TrendFollower
TrendFollower_L5_T0.5_SL10_TP40,0.01,-0.06082595657814208,-0.16168269013841352,-0.49549956778163484,-0.01510060000001049,0.03047550589724284,0.3036782265052093,189276,0.9876257625320815,0.20968094434489098,-0.09259131087961053,-0.0007978084913039113,38.26999999995557,-151.00600000004448,189.27600000000007,TrendFollower
TrendFollower_L5_T0.5_SL10_TP40,0.1,-0.060825956578141605,-0.16168269013841224,-0.5650736854693444,-0.15100600000004014,0.26723240505283147,0.3036782265052093,189276,0.987625762532081,2.096809443448909,-0.9259131087961053,-0.007978084913039418,382.6999999995552,-1510.0600000004456,1892.7600000000007,TrendFollower
TrendFollower_L5_T0.5_SL10_TP40,1.0,-0.06082595657814249,-0.16168269013841458,-0.7603023538285519,-1.5100600000002011,1.9861309022603912,0.3036782265052093,189276,0.9876257625320812,20.968094434489096,-9.259131087961054,-0.07978084913039218,3826.9999999955508,-15100.600000004451,18927.600000000002,TrendFollower
TrendFollower_L5_T0.5_SL10_TP50,0.01,-0.0600074298937479,-0.15993954481515799,-0.4919438711863577,-0.014921900000010464,0.030332525464795892,0.30367360740533317,189269,0.9877698095865731,0.20968150184424786,-0.0925760321109621,-0.0007883964093435142,40.0499999999555,-149.21900000004456,189.26900000000006,TrendFollower
TrendFollower_L5_T0.5_SL10_TP50,0.1,-0.060007429893747424,-0.1599395448151567,-0.5611667407308518,-0.14921900000003951,0.2659084888133246,0.30367360740533317,189269,0.9877698095865728,2.096815018442478,-0.9257603211096211,-0.00788396409343528,400.49999999955435,-1492.1900000004464,1892.6900000000007,TrendFollower
TrendFollower_L5_T0.5_SL10_TP50,1.0,-0.060007429893748306,-0.159939544815159,-0.7523630678544616,-1.4921900000002042,1.9833376514021765,0.30367360740533317,189269,0.9877698095865726,20.96815018442478,-9.257603211096212,-0.0788396409343548,4004.9999999955453,-14921.900000004456,18926.9,TrendFollower
TrendFollower_L5_T0.5_SL15_TP30,0.01,-0.03755591084223349,-0.10162434142057296,-0.2991584882013522,-0.009256900000007227,0.030943130030048685,0.30381726993589436,189219,0.9923755993150866,0.20958429585304741,-0.09216624029271794,-0.0004892161992191002,96.64999999995598,-92.56900000004407,189.21900000000005,TrendFollower
TrendFollower_L5_T0.5_SL15_TP30,0.1,-0.037555910842232976,-0.10162434142057156,-0.35806789307844367,-0.09256900000004807,0.2585235978691017,0.30381726993589436,189219,0.9923755993150861,2.0958429585304734,-0.9216624029271795,-0.004892161992191335,966.4999999995606,-925.6900000004401,1892.1900000000007,TrendFollower
TrendFollower_L5_T0.5_SL15_TP30,1.0,-0.03755591084223388,-0.10162434142057397,-0.6457057361016332,-0.925690000000371,1.4336096897467685,0.30381726993589436,189219,0.9923755993150863,20.95842958530474,-9.216624029271795,-0.04892161992191202,9664.999999995604,-9256.900000004398,18921.9,TrendFollower
TrendFollower_L5_T0.5_SL15_TP40,0.01,-0.03530152824832047,-0.09582279315520378,-0.28511465779086054,-0.00872780000000803,0.03061154437878852,0.3038034228691635,189198,0.9928092329323887,0.2096458010751751,-0.09214698714688106,-0.00046130508779182455,101.91999999995625,-87.27800000004379,189.19800000000004,TrendFollower
TrendFollower_L5_T0.5_SL15_TP40,0.1,-0.03530152824832002,-0.09582279315520256,-0.34173992088774985,-0.08727800000004846,0.2553930479451254,0.3038034228691635,189198,0.9928092329323881,2.0964580107517503,-0.9214698714688108,-0.004613050877918634,1019.1999999995628,-872.7800000004377,1891.9800000000005,TrendFollower
