base_strategy,strategy_name,lot_size,sharpe_ratio,sortino_ratio,calmar_ratio,total_return,max_drawdown,win_rate,n_trades,profit_factor,avg_win,avg_loss,expectancy,gross_pnl,net_pnl,total_commission,template,params
MeanReverterV2_T2.0_SL10_TP40_RSI30-75,MeanReverterV2_L20_T2.0_SL10_TP40_RSI30-75,0.01,0.0089223788670336,0.0171800815480668,0.0651439184702728,0.0005298999999991,0.0081342972980814,0.5123764398333469,12241,1.0016964459792863,0.4988660714285714,-0.5233018931144255,0.000432889469814,17.539999999992737,5.298999999992734,12.241000000000003,MeanReverterV2,"{'V': 2, 'L': 20, 'T': 2.0, 'SL': 10, 'TP': 40, 'RSI': '30-75'}"
MeanReverterV2_T2.0_SL10_TP40_RSI35-80,MeanReverterV2_L30_T2.0_SL10_TP40_RSI35-80,0.01,0.5323747175681652,26.405470817763916,2.3555732417710264,0.0115975999999995,0.0049234724670585,0.2166469893742621,1694,1.087523309790226,3.9266021798365136,-0.998558402411454,0.0684628099173558,117.67000000000009,115.97600000000008,1.6940000000000006,MeanReverterV2,"{'V': 2, 'L': 30, 'T': 2.0, 'SL': 10, 'TP': 40, 'RSI': '35-80'}"
MeanReverterV2_T2.0_SL10_TP50,MeanReverterV2_L20_T2.0_SL10_TP50,0.01,-0.1687563788159476,-0.3853366777885118,-0.5152123540479776,-0.0062275000000019,0.0120872489781602,0.4901751713632902,6565,0.971296777265288,0.6548607830950883,-0.6482273677920561,-0.0094859101294771,-55.71000000001838,-62.27500000001839,6.565000000000002,MeanReverterV2,"{'V': 2, 'L': 20, 'T': 2.0, 'SL': 10, 'TP': 50}"
MeanReverterV2_T2.0_SL10_TP50_RSI20-65,MeanReverterV2_L30_T2.0_SL10_TP50_RSI20-65,0.01,-0.5369554561719302,-28.632421799444067,-0.6980315662606147,-0.0105168000000005,0.0150663673511779,0.1557719054242002,1438,0.9132036604207108,4.939714285714286,-0.9980757825370676,-0.0731349095966619,-103.73000000000056,-105.16800000000056,1.4380000000000004,MeanReverterV2,"{'V': 2, 'L': 30, 'T': 2.0, 'SL': 10, 'TP': 50, 'RSI': '20-65'}"
MeanReverterV2_T2.0_SL10_TP50_RSI25-70,MeanReverterV2_L30_T2.0_SL10_TP50_RSI25-70,0.01,-0.1054244851179061,-2.5403201967474542,-0.0705856552516605,-0.0003574999999998,0.0050647684536651,0.1714285714285714,245,0.9822141958080244,4.70066666666667,-0.990162561576354,-0.0145918367346925,-3.3299999999997176,-3.5749999999997177,0.2450000000000001,MeanReverterV2,"{'V': 2, 'L': 30, 'T': 2.0, 'SL': 10, 'TP': 50, 'RSI': '25-70'}"
MeanReverterV2_T2.0_SL10_TP50_RSI30-75,MeanReverterV2_L20_T2.0_SL10_TP50_RSI30-75,0.01,0.033299981206799,0.0649893092675604,0.2488742344209642,0.0019874999999992,0.007985961281301,0.5132867132867133,12155,1.0064577318301338,0.4964867767270396,-0.5202342799188652,0.0016351295763055,32.02999999999348,19.874999999993477,12.155000000000005,MeanReverterV2,"{'V': 2, 'L': 20, 'T': 2.0, 'SL': 10, 'TP': 50, 'RSI': '30-75'}"
MeanReverterV2_T2.0_SL10_TP50_RSI35-80,MeanReverterV2_L30_T2.0_SL10_TP50_RSI35-80,0.01,0.76050587258723,38.98054618505339,3.9906857544899945,0.0150395999999997,0.0037686755924287,0.1890694239290989,1354,1.1372404088850931,4.8681796875000005,-0.9980491803278686,0.1110753323485971,151.75000000000014,150.39600000000013,1.3540000000000003,MeanReverterV2,"{'V': 2, 'L': 30, 'T': 2.0, 'SL': 10, 'TP': 50, 'RSI': '35-80'}"
MeanReverterV2_T2.0_SL15_TP30,MeanReverterV2_L20_T2.0_SL15_TP30,0.01,-0.0214493752562614,-0.036124453599575,-0.1553940553783241,-0.000808100000002,0.0052003276318042,0.5178484897431755,6191,0.9962833930078392,0.6756749844042399,-0.7284070351758838,-0.0013052818607688,-1.890000000020628,-8.08100000002063,6.1910000000000025,MeanReverterV2,"{'V': 2, 'L': 20, 'T': 2.0, 'SL': 15, 'TP': 30}"
MeanReverterV2_T2.0_SL15_TP30_RSI20-65,MeanReverterV2_L15_T2.0_SL15_TP30_RSI20-65,0.01,-0.5784172077409206,-0.7045391075474746,-0.9647076151469784,-0.0538006000000021,0.0557688144628207,0.5441753251221358,29066,0.8871418445473811,0.2673764304229615,-0.3598082119405243,-0.0185098052707639,-508.9400000000258,-538.0060000000258,29.06600000000001,MeanReverterV2,"{'V': 2, 'L': 15, 'T': 2.0, 'SL': 15, 'TP': 30, 'RSI': '20-65'}"
MeanReverterV2_T2.0_SL15_TP30_RSI25-70,MeanReverterV2_L20_T2.0_SL15_TP30_RSI25-70,0.01,-0.4244197441033701,-0.6159360333420139,-0.8554109970052026,-0.0241339000000001,0.0282132215794431,0.5303362894020546,11389,0.9215221271513307,0.4691903973509938,-0.5749203589455972,-0.0211905347264902,-229.94999999999752,-241.33899999999755,11.389000000000005,MeanReverterV2,"{'V': 2, 'L': 20, 'T': 2.0, 'SL': 15, 'TP': 30, 'RSI': '25-70'}"
